ID,C1,C2,C3,C4,C5,C6,C7,C8
TCGA-05-4244,931,3,186,0,170,0,38,151
TCGA-05-4250,977,54,173,17,73,0,96,105
TCGA-05-4395,862,2,168,0,512,0,375,287
TCGA-05-4397,1583,6,204,15,10,0,1055,17
TCGA-05-4398,1334,31,217,11,199,0,77,201
TCGA-05-4402,972,2,180,71,193,0,803,382
TCGA-05-4405,991,19,181,45,210,0,162,51
TCGA-05-4415,185,2,310,0,24,0,1,16
TCGA-05-4417,494,0,562,0,48,0,0,85
TCGA-05-4418,1321,3,232,0,127,0,8,164
TCGA-05-4422,1202,82,302,28,264,0,783,270
TCGA-05-4426,1180,2,328,0,90,0,264,301
TCGA-05-4427,1097,3,219,0,172,0,67,159
TCGA-05-4430,1658,18,296,54,225,0,657,221
TCGA-05-4432,988,4,623,0,15,0,2,67
TCGA-35-3615,1158,2,232,0,73,0,30,495
TCGA-35-4122,1174,11,315,0,131,0,0,291
TCGA-35-4123,585,5,239,0,130,0,9,158
TCGA-35-5375,1516,46,303,0,59,0,28,333
TCGA-38-4625,443,1,302,0,148,0,36,177
TCGA-38-4626,1004,2,142,0,198,0,44,207
TCGA-38-4627,834,5,219,0,71,0,21,154
TCGA-38-4628,260,1,101,0,87,0,208,118
TCGA-38-4629,1110,5,209,0,420,0,91,225
TCGA-38-4630,927,2,124,0,295,0,52,156
TCGA-38-4631,526,1,209,0,96,0,26,146
TCGA-38-4632,702,2,222,0,381,0,465,254
TCGA-38-6178,912,15,212,0,75,0,10,195
TCGA-38-7271,599,46,182,4,38,0,24,58
TCGA-38-A44F,262,0,327,0,38,0,1,187
TCGA-44-2655,858,12,185,0,53,0,19,126
TCGA-44-2656,1423,5,289,0,365,0,95,397
TCGA-44-2657,1410,5,334,9,111,0,49,278
TCGA-44-2659,1627,31,664,1,20,0,248,340
TCGA-44-2661,1398,32,361,0,240,0,142,445
TCGA-44-2662,1177,13,207,0,133,0,85,269
TCGA-44-2664,1555,11,332,0,106,0,18,367
TCGA-44-2665,760,1,218,0,133,0,29,276
TCGA-44-2666,1396,9,370,0,272,0,115,504
TCGA-44-2668,1616,17,385,0,350,0,3,279
TCGA-44-3396,977,26,197,0,208,0,70,148
TCGA-44-3398,469,1,68,0,115,0,304,141
TCGA-44-3917,930,2,218,0,352,0,211,255
TCGA-44-3918,1029,6,256,0,229,0,6,275
TCGA-44-3919,1451,12,376,0,207,0,5,235
TCGA-44-4112,982,17,205,5,212,0,34,273
TCGA-44-5643,1540,15,364,0,681,0,81,327
TCGA-44-5644,1424,10,340,0,224,0,668,470
TCGA-44-5645,1266,22,390,0,220,0,679,622
TCGA-44-6144,1499,7,257,0,223,0,47,291
TCGA-44-6145,609,2,160,0,335,0,2,213
TCGA-44-6146,1020,12,310,5,167,0,890,595
TCGA-44-6147,702,11,159,0,134,0,337,297
TCGA-44-6148,2357,149,557,0,305,0,98,551
TCGA-44-6774,1313,5,277,1,158,0,329,278
TCGA-44-6775,888,1,165,0,156,0,26,236
TCGA-44-6776,903,72,210,5,82,0,133,370
TCGA-44-6777,724,0,172,0,390,0,274,263
TCGA-44-6778,2517,29,327,0,487,0,49,375
TCGA-44-6779,1213,2,222,0,131,0,58,268
TCGA-44-7659,486,4,223,0,137,0,5,281
